Q1,Q1_1_TEXT,Q1_2_TEXT,Q2,Q2_1_TEXT,Q2_2_TEXT,Q3,Q4,Q4_1_TEXT,Q4_2_TEXT,Q4_3_TEXT,Q5
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Kuwait,1812,Enter policy ID number of superseding policy here,7300,,Apr,Enter number 1-31 here,11,,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Russian Federation,753,Enter policy ID number of superseding policy here,13436,,Jun,Enter number 1-31 here,8,,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",United Arab Emirates,1449,Enter policy ID number of superseding policy here,11625,,Jun,Enter number 1-31 here,1,,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Bahamas,1055,Enter policy ID number of superseding policy here,4882,,Mar,Enter number 1-31 here,24,,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Bahrain,9014,Enter policy ID number of superseding policy here,EB11,,May,Enter number 1-31 here,25,,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.,Check if you are clarifying a mistake on a previous policy already submitted.",Bahrain,9014,Enter policy ID number of superseding policy here,EB11,,Mar,Enter number 1-31 here,25,,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Brunei Darussalam,118,Enter policy ID number of superseding policy here,1150,,Mar,Enter number 1-31 here,17,,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Brunei Darussalam,1150,Enter policy ID number of superseding policy here,7086,,Mar,Enter number 1-31 here,24,,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Cyprus,218,Enter policy ID number of superseding policy here,EB12,,Jun,Enter number 1-31 here,9,,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Dominican Republic,352,Enter policy ID number of superseding policy here,1475,,Mar,Enter number 1-31 here,16,,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",South Sudan,10705,"No, this policy has an end date but no new policy",,,May,Enter number 1-31 here,13,,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Bonaire,MS43,Enter policy ID number of superseding policy here,EB13,,Mar,Enter number 1-31 here,15,,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Cambodia,504,Enter policy ID number of superseding policy here,7177,,Mar,Enter number 1-31 here,31,,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.,Check if you are clarifying a mistake on a previous policy already submitted.",South Sudan,330,"Enter policy ID number of superseding policy here,Enter wayback source link if there is language which clearly indicates this policy has ended (or been superseded by another)",10705,https://web.archive.org/web/20200624045543/https://radiotamazuj.org/en/news/article/south-sudan-reopens-airports-amid-rise-in-covid-19-cases,May,Enter number 1-31 here,13,,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Zambia,2084,"Enter policy ID number of superseding policy here,Enter wayback source link if there is language which clearly indicates this policy has ended (or been superseded by another)",10715,https://web.archive.org/web/20200606070715/https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,May,Enter number 1-31 here,15,,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Myanmar,588,Enter policy ID number of superseding policy here,4353,,Mar,Enter number 1-31 here,19,,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Lao PDR,469,Enter policy ID number of superseding policy here,7228,,Mar,Enter number 1-31 here,20,,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Lao PDR,470,Enter policy ID number of superseding policy here,7231,,Mar,Enter number 1-31 here,21,,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Myanmar,4353,Enter policy ID number of superseding policy here,4357,,Mar,Enter number 1-31 here,21,,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Thailand,4678,Enter policy ID number of superseding policy here,4675,,Mar,Enter number 1-31 here,25,,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Bolivia,930,"Enter policy ID number of superseding policy here,Enter wayback source link if there is language which clearly indicates this policy has ended (or been superseded by another)",9181,https://web.archive.org/web/20200501105751/http://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening,Mar,Enter number 1-31 here,31,,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Bolivia,9181,"Enter policy ID number of superseding policy here,Enter wayback source link if there is language which clearly indicates this policy has ended (or been superseded by another)",NL5,https://web.archive.org/web/20200619234627/https://www.osac.gov/Country/Bolivia/Content/Detail/Report/f54dcc84-2e4a-4cc3-ab27-18ee904da263,May,Enter number 1-31 here,31,,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Paraguay,3237,"Enter policy ID number of superseding policy here,Enter wayback source link if there is language which clearly indicates this policy has ended (or been superseded by another)",MS25,https://web.archive.org/save/https://www.facebook.com/DGMParaguay/posts/3192063310826610?comment_id=3192149490817992&reply_comment_id=3200743209958620,Mar,Enter number 1-31 here,30,,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Paraguay,1976,"Enter policy ID number of superseding policy here,Enter wayback source link if there is language which clearly indicates this policy has ended (or been superseded by another)",MS25,https://web.archive.org/save/https://www.facebook.com/DGMParaguay/posts/3192063310826610?comment_id=3192149490817992&reply_comment_id=3200743209958620,Mar,Enter number 1-31 here,30,,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Paraguay,MS25,"Enter policy ID number of superseding policy here,Enter wayback source link if there is language which clearly indicates this policy has ended (or been superseded by another)",MS26,http://www.migraciones.gov.py/index.php/noticias/cierre-de-fronteras-y-aeropuertos-se-prorroga-hasta-el-19-de-abril,Apr,Enter number 1-31 here,12,,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Paraguay,MS26,"Enter policy ID number of superseding policy here,Enter wayback source link if there is language which clearly indicates this policy has ended (or been superseded by another)",MS27,http://www.migraciones.gov.py/index.php/noticias/cierre-de-fronteras-se-extiende-por-una-semana-mas,Apr,Enter number 1-31 here,19,,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Paraguay,MS27,"Enter policy ID number of superseding policy here,Enter wayback source link if there is language which clearly indicates this policy has ended (or been superseded by another)",MS26,http://www.migraciones.gov.py/index.php/noticias/cierre-de-fronteras-y-aeropuertos-seguira-vigente,Apr,Enter number 1-31 here,26,,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Algeria,MS34,"Enter policy ID number of superseding policy here,Enter wayback source link if there is language which clearly indicates this policy has ended (or been superseded by another)",NL1,https://web.archive.org/web/20200320160300/https://www.aljazeera.com/news/2020/03/coronavirus-travel-restrictions-border-shutdowns-country-200318091505922.html,Mar,Enter number 1-31 here,19,,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Algeria,MS35,"Enter policy ID number of superseding policy here,Enter wayback source link if there is language which clearly indicates this policy has ended (or been superseded by another)",NL1,https://web.archive.org/web/20200320160300/https://www.aljazeera.com/news/2020/03/coronavirus-travel-restrictions-border-shutdowns-country-200318091505922.html,Mar,Enter number 1-31 here,19,,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Algeria,MS36,"Enter policy ID number of superseding policy here,Enter wayback source link if there is language which clearly indicates this policy has ended (or been superseded by another)",NL2,https://web.archive.org/web/20200320135415/https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening,Mar,Enter number 1-31 here,20,,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Algeria,NL1,"Enter policy ID number of superseding policy here,Enter wayback source link if there is language which clearly indicates this policy has ended (or been superseded by another)",NL2,https://web.archive.org/web/20200320135415/https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening,Mar,Enter number 1-31 here,20,,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Ecuador,1486,"Enter policy ID number of superseding policy here,Enter wayback source link if there is language which clearly indicates this policy has ended (or been superseded by another)",3980,https://web.archive.org/web/20200414183010/https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,Apr,Enter number 1-31 here,3,,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Ecuador,3980,"Enter policy ID number of superseding policy here,Enter wayback source link if there is language which clearly indicates this policy has ended (or been superseded by another)",NL3,https://web.archive.org/web/20200526152102/https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,Apr,Enter number 1-31 here,30,,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Ecuador,NL3,"Enter policy ID number of superseding policy here,Enter wayback source link if there is language which clearly indicates this policy has ended (or been superseded by another)",12849,https://web.archive.org/web/20200609115637/https://ec.usembassy.gov/covid-19-information-ecu-2/,Jun,Enter number 1-31 here,1,,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Colombia,760,"Enter policy ID number of superseding policy here,Enter wayback source link if there is language which clearly indicates this policy has ended (or been superseded by another)",755,https://web.archive.org/web/20200320135415/pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening,Mar,Enter number 1-31 here,16,,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Colombia,760,"Enter policy ID number of superseding policy here,Enter wayback source link if there is language which clearly indicates this policy has ended (or been superseded by another)",761,https://web.archive.org/web/20200529205531/https://www.migracioncolombia.gov.co/noticias/1-informacion-general/27-oficinas/131-comunicaciones/132-sala-de-prensa/133-noticias/247-comunicados-2020/marzo-2020/desde-hoy-y-hasta-el-proximo-30-de-mayo-todos-los-pasos-fronterizos-terrestres-fluviales-y-maritimos-estaran-cerrados,Mar,Enter number 1-31 here,17,,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Colombia,1043,"Enter policy ID number of superseding policy here,Enter wayback source link if there is language which clearly indicates this policy has ended (or been superseded by another)",6996,https://web.archive.org/web/20200421185145/https://coronaviruscolombia.gov.co/Covid19/acciones/acciones-20-abril.html,Apr,Enter number 1-31 here,20,,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.,Check if you are clarifying a mistake on a previous policy already submitted.",Colombia,1043,"Enter policy ID number of superseding policy here,Enter wayback source link if there is language which clearly indicates this policy has ended (or been superseded by another)",6996,https://web.archive.org/web/20200421185145/https://coronaviruscolombia.gov.co/Covid19/acciones/acciones-20-abril.html,Apr,Enter number 1-31 here,20,,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Colombia,6996,"Enter policy ID number of superseding policy here,Enter wayback source link if there is language which clearly indicates this policy has ended (or been superseded by another)",11902,https://web.archive.org/web/20200521024505/https://www.reuters.com/article/us-health-coronavirus-latam-airlines/colombia-follows-argentina-in-banning-all-international-flights-through-august-31-idUSKBN22W2T8,May,Enter number 1-31 here,31,,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Colombia,761,"Enter policy ID number of superseding policy here,Enter wayback source link if there is language which clearly indicates this policy has ended (or been superseded by another)",11904,https://web.archive.org/save/https://www.bluradio.com/nacion/restriccion-vuelos-internacionales-y-cierre-de-fronteras-seguira-hasta-31-de-agosto-252178-ie435/,May,Enter number 1-31 here,20,,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Brazil,2978,"Enter policy ID number of superseding policy here,Enter wayback source link if there is language which clearly indicates this policy has ended (or been superseded by another)",5459,https://web.archive.org/web/20200421153959/http://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening,Mar,Enter number 1-31 here,8,,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Brazil,5459,"Enter policy ID number of superseding policy here,Enter wayback source link if there is language which clearly indicates this policy has ended (or been superseded by another)",9016,https://web.archive.org/web/20200501183312/http://www.in.gov.br/en/web/dou/-/portaria-interministerial-n-203-de-28-de-abril-de-2020-254282950,Apr,Enter number 1-31 here,28,,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Brazil,9016,"Enter policy ID number of superseding policy here,Enter wayback source link if there is language which clearly indicates this policy has ended (or been superseded by another)",12934,https://web.archive.org/web/20200613164546/http://www.in.gov.br/en/web/dou/-/portaria-n-255-de-22-de-maio-de-2020-258114133,May,Enter number 1-31 here,22,,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Tunisia,644,"Enter policy ID number of superseding policy here,Enter wayback source link if there is language which clearly indicates this policy has ended (or been superseded by another)",790,https://web.archive.org/web/20200611215618/https://www.reuters.com/article/us-health-coronavirus-tunisia/tunisia-suspends-all-international-flights-closes-its-land-borders-pm-idUSKBN2133PT?il=0,Mar,Enter number 1-31 here,16,,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Tunisia,646,"Enter policy ID number of superseding policy here,Enter wayback source link if there is language which clearly indicates this policy has ended (or been superseded by another)",790,https://web.archive.org/web/20200611215618/https://www.reuters.com/article/us-health-coronavirus-tunisia/tunisia-suspends-all-international-flights-closes-its-land-borders-pm-idUSKBN2133PT?il=0,Mar,Enter number 1-31 here,16,,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Tunisia,789,"Enter policy ID number of superseding policy here,Enter wayback source link if there is language which clearly indicates this policy has ended (or been superseded by another)",790,https://web.archive.org/web/20200611215618/https://www.reuters.com/article/us-health-coronavirus-tunisia/tunisia-suspends-all-international-flights-closes-its-land-borders-pm-idUSKBN2133PT?il=0,Mar,Enter number 1-31 here,16,,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Tunisia,790,"Enter policy ID number of superseding policy here,Enter wayback source link if there is language which clearly indicates this policy has ended (or been superseded by another)",NL6,https://web.archive.org/web/20200421153959/https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening,Mar,Enter number 1-31 here,18,,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Tunisia,NL6,"No, this policy has an end date but no new policy",,,Jun,Enter number 1-31 here,27,,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Morocco,MS6,"Enter policy ID number of superseding policy here,Enter wayback source link if there is language which clearly indicates this policy has ended (or been superseded by another)",6701,https://web.archive.org/web/20200611184550/http://www.maroc.ma/en/news/morocco-suspends-all-international-passenger-flights-its-territory,Mar,Enter number 1-31 here,15,,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Morocco,6693,"Enter policy ID number of superseding policy here,Enter wayback source link if there is language which clearly indicates this policy has ended (or been superseded by another)",6701,https://web.archive.org/web/20200611184550/http://www.maroc.ma/en/news/morocco-suspends-all-international-passenger-flights-its-territory,Mar,Enter number 1-31 here,15,,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Morocco,MS7,"Enter policy ID number of superseding policy here,Enter wayback source link if there is language which clearly indicates this policy has ended (or been superseded by another)",6701,https://web.archive.org/web/20200611184550/http://www.maroc.ma/en/news/morocco-suspends-all-international-passenger-flights-its-territory,Mar,Enter number 1-31 here,15,,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Spain,807,"Enter policy ID number of superseding policy here,Enter wayback source link if there is language which clearly indicates this policy has ended (or been superseded by another)",2402,https://web.archive.org/web/20200402131848/https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening,Mar,Enter number 1-31 here,23,,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Spain,2412,"Enter policy ID number of superseding policy here,Enter wayback source link if there is language which clearly indicates this policy has ended (or been superseded by another)",2402,https://web.archive.org/web/20200402131848/https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening,Mar,Enter number 1-31 here,23,,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Spain,MS29,"Enter policy ID number of superseding policy here,Enter wayback source link if there is language which clearly indicates this policy has ended (or been superseded by another)",2402,https://web.archive.org/web/20200402131848/https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening,Mar,Enter number 1-31 here,23,,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Spain,2402,"Enter policy ID number of superseding policy here,Enter wayback source link if there is language which clearly indicates this policy has ended (or been superseded by another)",MS30,https://web.archive.org/web/20200422075229/https://boe.es/boe/dias/2020/04/21/pdfs/BOE-A-2020-4539.pdf,Apr,Enter number 1-31 here,21,,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Spain,MS30,"Enter policy ID number of superseding policy here,Enter wayback source link if there is language which clearly indicates this policy has ended (or been superseded by another)",MS31,https://web.archive.org/web/20200512163902/http://www.congreso.es/portal/page/portal/Congreso/Congreso/SalaPrensa/NotPre?_piref73_7706063_73_1337373_1337373.next_page=/wc/detalleNotaSalaPrensa&idNotaSalaPrensa=35909&anyo=2020&mes=5&pagina=1&mostrarvolver=S&movil=null,May,Enter number 1-31 here,5,,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Spain,MS30,"Enter policy ID number of superseding policy here,Enter wayback source link if there is language which clearly indicates this policy has ended (or been superseded by another)",MS31,https://web.archive.org/web/20200512163902/http://www.congreso.es/portal/page/portal/Congreso/Congreso/SalaPrensa/NotPre?_piref73_7706063_73_1337373_1337373.next_page=/wc/detalleNotaSalaPrensa&idNotaSalaPrensa=35909&anyo=2020&mes=5&pagina=1&mostrarvolver=S&movil=null,May,Enter number 1-31 here,15,,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.,Check if you are clarifying a mistake on a previous policy already submitted.",Spain,MS31,"Enter policy ID number of superseding policy here,Enter wayback source link if there is language which clearly indicates this policy has ended (or been superseded by another)",MS32,https://web.archive.org/web/20200611205305/https://www.osac.gov/Country/Spain/Content/Detail/Report/71ce3dd6-17c0-4955-b23b-18dbd382be92,May,Enter number 1-31 here,24,,,
"Country name,POLICY ID Number (found in first column, titled POLICY ID); if you're adding an end date to an unassigned policy, use the newly generated policy ID.",Spain,MS32,"Enter policy ID number of superseding policy here,Enter wayback source link if there is language which clearly indicates this policy has ended (or been superseded by another)",NL7,https://web.archive.org/web/20200622131543/https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,Jun,Enter number 1-31 here,21,,,
